REAL OP1_PERSISTENCE OP1_OCTAVES OP1_DIVERGENCE_SCALE OP1_OFFSET OP2_PERSISTENCE OP2_DIVERGENCE_SCALE OP2_OCTAVES OP2_OFFSET BPR_555_PERSISTENCE BPR_138_PERSISTENCE
0 0.01 3 0.25 0.1 5 0.5 0.5 0.5 0.1 0.2
1 0.4 3 0.5 0.1 6 1 0.5 0.5 0.5 0.7
2 0.2 3 0.25 0.1 7 1.6 1.5 0.1 0.1 0.2
3 0.01 4 0.3 0.1 8 0.5 1.5 0.1 0.5 0.7
4 0.4 4 0.4 0.1 9 1 0.5 0.1 0.1 0.2
5 0.2 4 0.25 0.6 10 1.6 0.5 0.1 0.5 0.7
6 0.01 5 0.5 0.6 11 1.6 1.5 0.5 0.1 0.2
7 0.4 5 0.25 0.6 12 1 1.5 0.5 0.5 0.7
8 0.2 3 0.5 0.6 11 0.6 0.6 0.5 0.1 0.2
9 0.3 3 0.2 0.6 10 0.7 0.6 0.1 0.5 0.7
